Date;Open;High;Low;Close;Volume
08/02/2013 16:00:00;1,5711;1,5842;1,5702;1,5803;126309
11/02/2013 16:00:00;1,5787;1,5807;1,5649;1,5652;100594
12/02/2013 16:00:00;1,5649;1,5669;1,5568;1,5665;127274
13/02/2013 16:00:00;1,5679;1,5686;1,552;1,5537;145101
14/02/2013 16:00:00;1,5537;1,554;1,5471;1,5492;105525
15/02/2013 16:00:00;1,5493;1,5548;1,5459;1,5517;113343
18/02/2013 16:00:00;1,5487;1,5506;1,5435;1,5468;44711
19/02/2013 16:00:00;1,5468;1,5503;1,5412;1,5424;100780
20/02/2013 16:00:00;1,5423;1,5449;1,5189;1,523;184091
21/02/2013 16:00:00;1,5238;1,5271;1,5124;1,5248;162062
22/02/2013 16:00:00;1,5248;1,532;1,5155;1,5155;140906
25/02/2013 16:00:00;1,5112;1,5198;1,5082;1,5173;169943
26/02/2013 16:00:00;1,5166;1,5218;1,511;1,5123;149962
27/02/2013 16:00:00;1,5126;1,5187;1,5079;1,5159;132860
28/02/2013 16:00:00;1,5157;1,5221;1,5147;1,5162;117812
01/03/2013 16:00:00;1,5166;1,5185;1,4983;1,5041;145879
04/03/2013 16:00:00;1,5028;1,5117;1,4998;1,5112;104145
05/03/2013 16:00:00;1,5112;1,5199;1,5093;1,5124;119669
06/03/2013 16:00:00;1,5125;1,5154;1,5014;1,5016;99264
07/03/2013 16:00:00;1,4989;1,5082;1,4967;1,5012;148151
08/03/2013 16:00:00;1,5012;1,5046;1,4884;1,4908;130517
11/03/2013 17:00:00;1,4924;1,4944;1,4865;1,4914;84948
12/03/2013 17:00:00;1,4908;1,4916;1,4831;1,4902;113633
13/03/2013 17:00:00;1,4898;1,4983;1,4892;1,4922;106932
14/03/2013 17:00:00;1,4913;1,5113;1,4907;1,5075;49047
15/03/2013 17:00:00;1,5076;1,5168;1,506;1,5101;142417
18/03/2013 17:00:00;1,5104;1,5137;1,5063;1,5095;94984
19/03/2013 17:00:00;1,5087;1,5138;1,5066;1,5093;111611
20/03/2013 17:00:00;1,5085;1,518;1,5019;1,5086;200604
21/03/2013 17:00:00;1,5087;1,5204;1,5083;1,5166;123772
22/03/2013 17:00:00;1,5166;1,5244;1,5166;1,5229;103072
25/03/2013 17:00:00;1,5223;1,526;1,5137;1,5168;104674
26/03/2013 17:00:00;1,517;1,5201;1,5128;1,5152;72718
27/03/2013 17:00:00;1,5158;1,5176;1,5085;1,5122;84061
28/03/2013 17:00:00;1,5123;1,5195;1,5105;1,5183;103351
01/04/2013 16:00:00;1,5189;1,5236;1,5171;1,5229;41796
02/04/2013 16:00:00;1,5217;1,5253;1,5093;1,5098;100183
03/04/2013 16:00:00;1,5101;1,5154;1,5069;1,5122;93559
04/04/2013 16:00:00;1,5126;1,524;1,5027;1,5226;145404
05/04/2013 16:00:00;1,5226;1,5357;1,5194;1,532;118744
08/04/2013 16:00:00;1,5327;1,5346;1,5232;1,5246;96100
09/04/2013 16:00:00;1,5257;1,5337;1,5244;1,5314;88758
10/04/2013 16:00:00;1,5315;1,5338;1,5287;1,5323;63547
11/04/2013 16:00:00;1,5323;1,5406;1,5313;1,5377;89936
12/04/2013 16:00:00;1,5378;1,5405;1,5335;1,5337;75946
15/04/2013 16:00:00;1,5337;1,5381;1,5265;1,5283;91335
16/04/2013 16:00:00;1,5286;1,5374;1,5266;1,5357;95822
17/04/2013 16:00:00;1,5358;1,5364;1,5212;1,5237;121035
